"","var","ID1","ID2","mean","median","pc2.5","pc97.5","overlap0","gel"
"13800","ldx",518,NA,-0.4250950291677,-0.0816005813467394,-2.95946110770924,0.236465597045319,TRUE,1.00038701617293
"13801","ldx",519,NA,-0.320977023536278,-0.0301359625989174,-2.55540546891038,0.239714549616804,TRUE,1.00517278348838
"13802","ldx",520,NA,-0.509456793579094,-0.127088804349976,-3.33787577979713,0.236682814137136,TRUE,1.00131997463794
"13803","ldx",521,NA,-0.388596220993533,-0.0687356331603586,-2.83101351238131,0.238223587689849,TRUE,1.00045529662425
"13804","ldx",522,NA,-0.566016983229789,-0.16826802214053,-3.48639420128056,0.236252036192974,TRUE,1.00406614320068
"13805","ldx",523,NA,-0.41232329090549,-0.0814957086469372,-2.96663594536836,0.238323666850272,TRUE,1.00132291231488
"13806","ldx",524,NA,-0.345622549749812,-0.0412048072830765,-2.63527457891197,0.238609769238717,TRUE,1.00281297462245
"13807","ldx",525,NA,-0.315692947263454,-0.0288073133182639,-2.46430214322752,0.238930704897109,TRUE,1.00055110309051
"13808","ldx",526,NA,-0.582747943450832,-0.182407305431975,-3.55982878494726,0.232468724792453,TRUE,1.00039306261453
"13809","ldx",527,NA,-0.348955398201664,-0.0500264834334548,-2.6370996761741,0.238950820196831,TRUE,1.00074111392483
"13810","ldx",528,NA,-1.7395871033737,-1.19659578648472,-6.66550902203203,0.207052273243539,TRUE,1.00070071082225
"13811","ldx",529,NA,-0.407677266799367,-0.0771402538545899,-2.94207540137593,0.237648387812637,TRUE,1.00059080862272
"13812","ldx",530,NA,-0.538815499929826,-0.129855992701816,-3.56908521735179,0.235525592755239,TRUE,1.00400452881461
"13813","ldx",531,NA,-0.487139686764983,-0.113179589935921,-3.24020106278671,0.236552442382529,TRUE,1.00122858634769
"13814","ldx",532,NA,-0.397643808578288,-0.063603461294757,-2.87122290267796,0.236989988952794,TRUE,1.00117568791946
"13815","ldx",533,NA,-0.36572307550059,-0.0603426862149393,-2.63306720944308,0.236133069522156,TRUE,1.00107202938325
"13816","ldx",534,NA,-0.456221293618476,-0.102682985563746,-3.17839830003176,0.237221552098065,TRUE,1.00533896467651
"13817","ldx",535,NA,-1.62068173281517,-1.10711310258617,-6.26776779162887,0.206367050102045,TRUE,1.00037101294624
"13818","ldx",536,NA,-0.589487459700132,-0.186104656790363,-3.61373446421168,0.2319662431213,TRUE,1.00035354805512
"13819","ldx",537,NA,-0.382442242066796,-0.0567233187477511,-2.81234005460818,0.238257242328943,TRUE,1.00533616019399
"13820","ldx",538,NA,-0.320044516713114,-0.0381040069663356,-2.43695414265957,0.238519017743346,TRUE,1.00217653134326
"13821","ldx",539,NA,-1.85318308001661,-1.33336584665674,-6.60362114768808,0.198504551903189,TRUE,1.00037072096479
"13822","ldx",540,NA,-0.333435158824167,-0.0478380621716316,-2.52795429845782,0.23961608853752,TRUE,1.00238907599732
"13823","ldx",541,NA,-1.93395131065266,-1.390978508588,-6.91392988844542,0.201827522307563,TRUE,1.00033849176659
"13824","ldx",542,NA,-0.578419129404542,-0.164716410675492,-3.66226767225965,0.233015186885201,TRUE,1.00273780606736
"13825","ldx",543,NA,-0.456947937409705,-0.0984886116879619,-3.158247350885,0.235906545861735,TRUE,1.00194893081592
"13826","ldx",544,NA,-1.45804108895449,-0.951189650440597,-5.90654607696222,0.212414876278571,TRUE,1.00075324406488
"13827","ldx",545,NA,-0.675425839538691,-0.246683216440757,-3.784764557397,0.231434484989948,TRUE,1.00029566183284
"13828","ldx",546,NA,-0.394138049764143,-0.0752331242483881,-2.81787510244842,0.238052699902195,TRUE,1.00034579146866
"13829","ldx",547,NA,-0.301709634907564,-0.0254844751572574,-2.33146686174743,0.240616538875906,TRUE,1.00162275404942
"13830","ldx",548,NA,-0.30938612987921,-0.0269985735471954,-2.44836165832261,0.238201462478554,TRUE,1.00018472042031
"13831","ldx",549,NA,-0.417556201680542,-0.0638755755241992,-2.9446505895815,0.237612293479794,TRUE,1.00021514037165
"13832","ldx",550,NA,-1.05008367283545,-0.550402605838936,-4.98178126447397,0.223112137203544,TRUE,1.00109752796689
