"block","year","water_year","GPP_avg","GPP_total","P_avg","P_total","P_acc","LAI_mod","VPD","S","Tair","Tsoil","PPFD_IN","WUE","GPP_avg_yr","GPP_total_yr","month","Season","B_WUE.pred","cred2.5_WUE.pred","cred97.5_WUE.pred","B_WUE.wght","cred2.5_WUE.wght","cred97.5_WUE.wght"
2000,2014,2014,2.518442289846,2.518442289846,0,0,73.5134,0.3257875,0.481676708333333,0.0926747013888889,2.71907791666667,8.79169583333333,26062.41057392,NA,1.7211419581964,628.216814741687,3,"Winter",5.9376590817596,3.18548145537961,15.7776996568833,14.9536517341915,8.0224512107482,39.7352260523837
2001,2014,2014,2.5250273782488,2.5250273782488,0,0,73.5134,0.329075,0.987648958333333,0.0905822118055556,9.25569875,9.60990092592593,26613.79103096,NA,1.7211419581964,628.216814741687,3,"Winter",6.0099035437808,3.2821751130827,15.6150689952694,15.175170988681,8.28758202074067,39.4284767262991
2002,2014,2014,2.477825171586,2.477825171586,0,0,73.5134,0.3323625,0.687794375,0.0895273055555555,5.91225583333333,9.27225347222222,21939.03700754,NA,1.7211419581964,628.216814741687,3,"Winter",6.08652710033374,3.39377756183495,15.436128849507,15.0813500567473,8.40918746947841,38.2480286151534
2003,2014,2014,2.424393781668,2.424393781668,0,0,73.5134,0.33565,0.627779770833333,0.0886867916666666,8.25954229166667,10.2746516203704,19928.36325939,NA,1.7211419581964,628.216814741687,3,"Winter",6.14680098100306,3.49250019011241,15.2654286093567,14.9022660754946,8.46719574338282,37.0094101950212
2004,2014,2014,2.816424966474,2.816424966474,0,0,73.5134,0.3389375,0.680994583333333,0.0819106319444444,7.21145145833333,10.8483918981481,25838.04480103,NA,1.7211419581964,628.216814741687,3,"Winter",6.207948738011,3.61937803550079,15.0888861617069,17.4842218163249,10.193706662292,42.4967157021154
2005,2014,2014,3.02792433534,3.02792433534,0,0,73.5134,0.342225,0.683481041666667,0.08134771875,6.76261145833333,10.9635409722222,27088.3541157,NA,1.7211419581964,628.216814741687,3,"Winter",6.25049449260157,3.70986989059378,14.9759436627682,18.9260243820569,11.233205322674,45.3460242611767
2006,2014,2014,3.1765781020968,3.1765781020968,0,0,73.5134,0.3455125,0.899535416666667,0.0789870381944444,8.53548145833333,10.6520685185185,27474.2145895,NA,1.7211419581964,628.216814741687,3,"Winter",6.26493282357914,3.74672865231127,14.7961326791422,19.901048418489,11.9017761914306,47.0010710642819
2007,2014,2014,2.3279740786854,2.3279740786854,0,0,73.5134,0.3488,1.12202125,0.0769673020833333,11.7949597916667,11.3938539351852,19541.5018794,NA,1.7211419581964,628.216814741687,3,"Winter",6.25904946651401,3.74626756550766,14.586881694745,14.5709049152543,8.72121378432169,33.9578824742168
2008,2014,2014,3.2884675070526,3.2884675070526,0,0,73.5134,0.348275,0.932715833333333,0.0748156736111111,8.53530270833333,11.3191,28133.0951525,NA,1.7211419581964,628.216814741687,3,"Winter",6.25162689551724,3.76832080923751,14.4324596952179,20.5582719121246,12.3920005373277,47.4606747545704
2009,2014,2014,2.588889543354,2.588889543354,0,0,73.5134,0.34775,1.23115645833333,0.06791528125,11.7492110416667,12.0584493055556,15524.0651943,NA,1.7211419581964,628.216814741687,4,"Spring",6.2180624295566,3.72679687820724,14.2927612084188,16.0978768038014,9.64826546819507,37.0023800381311
2010,2014,2014,2.211104725758,2.211104725758,0,0,73.5134,0.347225,1.1256525,0.0697748715277778,10.129126875,12.1811141203704,28024.459305,NA,1.7211419581964,628.216814741687,4,"Spring",6.18778338777069,3.71475974835769,14.1606890317651,13.6818370906666,8.21372283464928,31.3107664381252
2011,2014,2014,2.436690691512,2.436690691512,0,0,73.5134,0.3467,0.438121875,0.0690079791666667,1.61391666666667,9.50123101851852,21877.9213844,NA,1.7211419581964,628.216814741687,4,"Spring",6.15843034317751,3.73616722433713,14.0360240950729,15.0061898915457,9.1038838974745,34.2014492583022
2012,2014,2014,3.0050797520502,3.0050797520502,0,0,73.5134,0.346175,0.647389166666667,0.07017484375,4.86646458333333,9.62206030092593,3867.6834237,NA,1.7211419581964,628.216814741687,4,"Spring",6.09735022499405,3.70910294683411,13.8654622348627,18.3230237022883,11.1461501638009,41.6668198148025
2013,2014,2014,2.4344804777382,2.4344804777382,0,0,73.5134,0.34565,0.531848333333333,0.0713417083333334,5.190948125,9.74288958333334,16463.0590186,NA,1.7211419581964,628.216814741687,4,"Spring",6.00907754556529,3.62428156312574,13.6774517521194,14.6289819738937,8.82324271125609,33.2974892757409
